20250826T,1.7,1.7,1.7,1.7,0
20250827T,23.9,23.9,23.9,23.9,0
20250828T,-17.1,-17.1,-17.1,-17.1,0
20250829T,-8.1,-8.1,-8.1,-8.1,0
20250903T,-2.8,-2.8,-2.8,-2.8,0
20250905T,-33.5,-33.5,-33.5,-33.5,0
20250908T,-32.9,-32.9,-32.9,-32.9,0
20250909T,-16.5,-16.5,-16.5,-16.5,0
20250911T,-6.4,-6.4,-6.4,-6.4,0
20250912T,4.2,4.2,4.2,4.2,0
20250915T,-26.8,-26.8,-26.8,-26.8,0
20250916T,-33.8,-33.8,-33.8,-33.8,0
20250917T,-28.4,-28.4,-28.4,-28.4,0
20250918T,-1.2,-1.2,-1.2,-1.2,0
20250922T,-16.3,-16.3,-16.3,-16.3,0
20250923T,-17.2,-17.2,-17.2,-17.2,0
20250924T,24.2,24.2,24.2,24.2,0
20250929T,-2.8,-2.8,-2.8,-2.8,0
20251001T,-9.4,-9.4,-9.4,-9.4,0
20251002T,-17.8,-17.8,-17.8,-17.8,0
20251003T,-16.3,-16.3,-16.3,-16.3,0
20251006T,4.5,4.5,4.5,4.5,0
20251007T,20.5,20.5,20.5,20.5,0
20251008T,15.0,15.0,15.0,15.0,0
20251009T,26.5,26.5,26.5,26.5,0
20251010T,26.5,26.5,26.5,26.5,0
20251013T,25.4,25.4,25.4,25.4,0
20251014T,10.1,10.1,10.1,10.1,0
20251015T,-0.0,-0.0,-0.0,-0.0,0
20251016T,-14.2,-14.2,-14.2,-14.2,0
20251020T,5.4,5.4,5.4,5.4,0
20251021T,24.6,24.6,24.6,24.6,0
20251022T,22.2,22.2,22.2,22.2,0
20251023T,16.4,16.4,16.4,16.4,0
20251024T,-1.4,-1.4,-1.4,-1.4,0
20251025T,-1.9,-1.9,-1.9,-1.9,0
20251027T,-7.5,-7.5,-7.5,-7.5,0
20251028T,-11.7,-11.7,-11.7,-11.7,0
20251029T,-2.5,-2.5,-2.5,-2.5,0
20251030T,8.5,8.5,8.5,8.5,0
20251031T,24.7,24.7,24.7,24.7,0
20251103T,27.2,27.2,27.2,27.2,0
20251104T,24.7,24.7,24.7,24.7,0
20251105T,26.9,26.9,26.9,26.9,0
20251106T,-7.1,-7.1,-7.1,-7.1,0
20251107T,-19.2,-19.2,-19.2,-19.2,0
20251110T,-12.2,-12.2,-12.2,-12.2,0
20251111T,-23.3,-23.3,-23.3,-23.3,0
20251117T,-15.7,-15.7,-15.7,-15.7,0
20251118T,-10.1,-10.1,-10.1,-10.1,0
20251119T,13.1,13.1,13.1,13.1,0
20251120T,17.0,17.0,17.0,17.0,0
20251121T,23.5,23.5,23.5,23.5,0
20251124T,8.1,8.1,8.1,8.1,0
20251125T,-2.9,-2.9,-2.9,-2.9,0
20251126T,3.5,3.5,3.5,3.5,0
20251127T,-7.7,-7.7,-7.7,-7.7,0
20251128T,0.2,0.2,0.2,0.2,0
20251201T,-26.0,-26.0,-26.0,-26.0,0
20251202T,-6.5,-6.5,-6.5,-6.5,0
20251203T,-28.8,-28.8,-28.8,-28.8,0
20251204T,-26.9,-26.9,-26.9,-26.9,0
20251205T,-24.0,-24.0,-24.0,-24.0,0
20251216T,-29.0,-29.0,-29.0,-29.0,0
20251217T,-12.5,-12.5,-12.5,-12.5,0
20251218T,-21.8,-21.8,-21.8,-21.8,0
20251219T,-17.9,-17.9,-17.9,-17.9,0
20251222T,-31.8,-31.8,-31.8,-31.8,0
20251229T,-29.0,-29.0,-29.0,-29.0,0
20251230T,-13.3,-13.3,-13.3,-13.3,0
20251231T,-10.5,-10.5,-10.5,-10.5,0
20260105T,18.2,18.2,18.2,18.2,0
20260107T,9.0,9.0,9.0,9.0,0
20260112T,-1.7,-1.7,-1.7,-1.7,0
20260113T,3.1,3.1,3.1,3.1,0
20260114T,4.5,4.5,4.5,4.5,0
20260116T,14.7,14.7,14.7,14.7,0
20260120T,-35.4,-35.4,-35.4,-35.4,0
20260123T,-19.0,-19.0,-19.0,-19.0,0
20260124T,-29.0,-29.0,-29.0,-29.0,0
20260126T,-29.0,-29.0,-29.0,-29.0,0
20260127T,-29.0,-29.0,-29.0,-29.0,0
20260128T,-25.0,-25.0,-25.0,-25.0,0
20260129T,-21.0,-21.0,-21.0,-21.0,0
20260130T,-22.0,-22.0,-22.0,-22.0,0
20260203T,-8.0,-8.0,-8.0,-8.0,0
20260204T,-7.0,-7.0,-7.0,-7.0,0
20260205T,-8.0,-8.0,-8.0,-8.0,0
